time,Ml,Ml_unc
1562277755,3.490105,0.176583
1562277811,2.617771,0.331726
1562277817,2.285568,0.257478
1562277848,2.058855,0.273019
1562277903,3.00206,0.211386
1562277922,3.62729,0.200517
1562277984,2.405851,0.147698
1562278040,2.072946,0.184484
1562278116,1.777309,0.180589
1562278177,1.507782,0.255709
1562278193,2.658011,0.116988
1562278200,2.411587,0.288289
1562278290,1.111748,0.340815
1562278328,4.510509,0.223513
1562278493,1.867597,0.193928
1562278509,2.087179,0.232961
1562278530,2.296532,0.275155
1562278628,2.827511,0.025658
1562278638,2.528159,0.21989
1562278698,2.224879,0.264094
1562278795,2.380735,0.35966
1562278826,1.956586,0.314687
1562278946,1.528349,0.278038
1562278989,1.49733,0.217717
1562279033,1.672671,0.233999
1562279075,1.46555,0.126916
1562279116,1.542795,0.182153
1562279149,1.913773,0.283497
1562279211,1.666976,0.316166
1562279218,2.061095,0.19162
1562279273,1.621393,0.099493
1562279310,2.191238,0.191373
1562279346,2.684272,0.258834
1562279400,2.227872,0.30064
1562279408,2.59199,0.268324
1562279499,1.990495,0.224371
1562279531,1.720299,0.379137
1562279553,1.73537,0.221193
1562279629,1.900082,0.164814
1562279668,2.211172,0.246454
1562279719,1.690173,0.240444
1562279739,2.481333,0.235846
1562279783,2.124337,0.316041
1562279822,1.635804,0.327723
1562279857,1.396602,0.158803
1562279893,2.190687,0.213175
1562279938,1.804325,0.217352
1562280045,1.462976,0.294993
1562280134,3.179248,0.362207
1562280141,3.133178,0.211109
1562280249,2.418517,0.290882
1562280290,1.708743,0.203985
1562280321,1.604764,0.33238
1562280346,1.617806,0.231636
1562280361,1.516744,0.275856
1562280419,1.523415,0.225562
1562280498,1.518734,0.072835
1562280527,1.60141,0.214329
1562280610,1.729322,0.154327
1562280681,1.357802,0.310893
1562280703,2.154436,0.322147
1562280717,2.274244,0.338495
1562280803,1.795484,0.195909
1562280993,1.371996,0.248428
1562281017,2.654384,0.249571
1562281055,1.556343,0.162728
1562281071,1.593487,0.305842
1562281096,1.302781,0.183996
1562281115,1.931831,0.271487
1562281141,2.075471,0.409255
