year,month, day,hour,min,sec
2023,2,6,23,56,1.7411
2023,2,7,0,1,0.2189
2023,2,7,0,3,14.3972
2023,2,7,0,3,46.2135
2023,2,7,0,5,38.5893
2023,2,7,0,6,23.3038
2023,2,7,0,7,3.2839
2023,2,7,0,7,54.2072
2023,2,7,0,7,54.3503
2023,2,7,0,9,37.631
2023,2,7,0,9,37.6572
2023,2,7,0,11,33.2703
2023,2,7,0,12,18.0444
2023,2,7,0,13,57.8226
2023,2,7,0,15,19.2378
2023,2,7,0,17,55.5674
2023,2,7,0,20,14.9164
2023,2,7,0,23,44.6508
2023,2,7,0,25,47.2305
2023,2,7,0,26,20.2335
2023,2,7,0,29,13.9955
2023,2,7,0,30,8.068
2023,2,7,0,31,7.3582
2023,2,7,0,36,28.5843
2023,2,7,0,38,15.2964
2023,2,7,0,40,7.5919
2023,2,7,0,41,59.3798
2023,2,7,0,45,32.3704
2023,2,7,0,46,48.0822
2023,2,7,0,46,46.7189
2023,2,7,0,49,3.5455
2023,2,7,0,50,24.5985
2023,2,7,0,53,28.2813
2023,2,7,0,55,32.915
2023,2,7,0,55,59.2648
2023,2,7,1,2,14.6221
2023,2,7,1,5,21.0459
2023,2,7,1,8,25.1649
2023,2,7,1,12,50.2015
2023,2,7,1,16,45.9193
2023,2,7,1,18,7.4687
2023,2,7,1,24,12.6331
2023,2,7,1,25,33.7923
2023,2,7,1,27,20.7111
2023,2,7,1,29,17.3606
2023,2,7,1,31,59.1048
2023,2,7,1,33,56.9976
2023,2,7,1,34,28.6853
2023,2,7,1,47,11.5827
2023,2,7,1,48,9.4806
2023,2,7,1,50,17.2308
2023,2,7,1,51,14.3197
2023,2,7,1,51,46.1007
2023,2,7,1,56,34.0882
2023,2,7,1,58,3.2409
2023,2,7,2,1,47.0684
2023,2,7,2,1,53.0574
2023,2,7,2,5,10.2596
2023,2,7,2,5,40.7944
2023,2,7,2,6,52.5693
2023,2,7,2,8,8.5039
2023,2,7,2,11,54.8318
2023,2,7,2,12,17.4256
2023,2,7,2,15,49.7678
2023,2,7,2,17,12.0519
2023,2,7,2,17,18.4314
2023,2,7,2,18,51.6059
2023,2,7,2,22,32.597
2023,2,7,2,26,50.6206
2023,2,7,2,28,2.1239
